ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,share
18,"$250,000 to $299,999",2016,2016,6462218,39265,United States,0.086136986
17,"$200,000 to $249,999",2016,2016,7973867,47050,United States,0.106286243
7,"$40,000 to $49,999",2016,2016,1027,381,"Mecklenburg County, NC",0.004608419
16,"$175,000 to $199,999",2016,2016,4514369,34067,United States,0.060173479
15,"$150,000 to $174,999",2016,2016,6353838,43924,United States,0.084692354
18,"$250,000 to $299,999",2016,2016,22841,2169,"Mecklenburg County, NC",0.102493572
14,"$125,000 to $149,999",2016,2016,5121498,39785,United States,0.068266097
13,"$100,000 to $124,999",2016,2016,5485921,40800,United States,0.073123609
19,"$300,000 to $399,999",2016,2016,26527,2016,"Mecklenburg County, NC",0.119033623
12,"$90,000 to $99,999",2016,2016,2022917,21338,United States,0.026964113
11,"$80,000 to $89,999",2016,2016,2410556,24738,United States,0.032131078
20,"$400,000 to $499,999",2016,2016,17345,1869,"Mecklenburg County, NC",0.077831575
10,"$70,000 to $79,999",2016,2016,2028732,23113,United States,0.027041623
9,"$60,000 to $69,999",2016,2016,1791841,21381,United States,0.023884026
21,"$500,000 to $749,999",2016,2016,14013,1518,"Mecklenburg County, NC",0.062880015
8,"$50,000 to $59,999",2016,2016,1539615,18269,United States,0.020522025
7,"$40,000 to $49,999",2016,2016,1216199,17626,United States,0.016211108
22,"$750,000 to $999,999",2016,2016,7333,1373,"Mecklenburg County, NC",0.032905099
6,"$35,000 to $39,999",2016,2016,475525,11468,United States,0.006338426
5,"$30,000 to $34,999",2016,2016,617388,12456,United States,0.008229364
23,"$1,000,000 to $1,499,999",2016,2016,4480,1061,"Mecklenburg County, NC",0.020102938
4,"$25,000 to $29,999",2016,2016,498424,9088,United States,0.006643654
3,"$20,000 to $24,999",2016,2016,551250,10889,United States,0.007347789
24,"$1,500,000 to $1,999,999",2016,2016,1958,595,"Mecklenburg County, NC",0.008786061
2,"$15,000 to $19,999",2016,2016,510633,9259,United States,0.006806392
1,"$10,000 to $14,999",2016,2016,559146,10562,United States,0.007453037
25,"$2,000,000 or More",2016,2016,1370,544,"Mecklenburg County, NC",0.00614755
0,"Less Than $10,000",2016,2016,1021239,17427,United States,0.013612424
13,"$100,000 to $124,999",2015,2015,21255,2212,"Mecklenburg County, NC",0.096020492
9,"$60,000 to $69,999",2015,2015,1874444,20511,United States,0.025158123
5,"$30,000 to $34,999",2015,2015,654975,12830,United States,0.008790842
4,"$25,000 to $29,999",2015,2015,528,482,"Mecklenburg County, NC",0.002385266
14,"$125,000 to $149,999",2015,2015,22180,2219,"Mecklenburg County, NC",0.100199224
17,"$200,000 to $249,999",2015,2015,7825963,44403,United States,0.105037302
23,"$1,000,000 to $1,499,999",2015,2015,1102169,12720,United States,0.014792922
7,"$40,000 to $49,999",2015,2015,1274745,15303,United States,0.017109176
15,"$150,000 to $174,999",2015,2015,22329,2234,"Mecklenburg County, NC",0.100872339
5,"$30,000 to $34,999",2015,2015,219,210,"Mecklenburg County, NC",0.000989343
13,"$100,000 to $124,999",2015,2015,5842517,39281,United States,0.078416193
2,"$15,000 to $19,999",2015,2015,500762,10364,United States,0.00672105
16,"$175,000 to $199,999",2015,2015,16700,2055,"Mecklenburg County, NC",0.075443059
24,"$1,500,000 to $1,999,999",2015,2015,387386,8047,United States,0.005199358
6,"$35,000 to $39,999",2015,2015,275,159,"Mecklenburg County, NC",0.001242326
18,"$250,000 to $299,999",2015,2015,6209502,35851,United States,0.083341735
17,"$200,000 to $249,999",2015,2015,25268,2131,"Mecklenburg County, NC",0.114149413
10,"$70,000 to $79,999",2015,2015,2160730,19708,United States,0.029000552
4,"$25,000 to $29,999",2015,2015,523598,11473,United States,0.007027547
7,"$40,000 to $49,999",2015,2015,710,326,"Mecklenburg County, NC",0.003207459
18,"$250,000 to $299,999",2015,2015,20897,2068,"Mecklenburg County, NC",0.094403209
25,"$2,000,000 or More",2015,2015,555865,8576,United States,0.007460623
14,"$125,000 to $149,999",2015,2015,5344324,37990,United States,0.071729623
19,"$300,000 to $399,999",2015,2015,8274205,47076,United States,0.111053447
19,"$300,000 to $399,999",2015,2015,27642,2352,"Mecklenburg County, NC",0.124874073
8,"$50,000 to $59,999",2015,2015,2099,578,"Mecklenburg County, NC",0.009482334
3,"$20,000 to $24,999",2015,2015,553744,12543,United States,0.007432156
8,"$50,000 to $59,999",2015,2015,1614674,18987,United States,0.021671582
20,"$400,000 to $499,999",2015,2015,12775,1263,"Mecklenburg County, NC",0.057711681
11,"$80,000 to $89,999",2015,2015,2564686,22702,United States,0.034422307
9,"$60,000 to $69,999",2015,2015,2206,585,"Mecklenburg County, NC",0.009965712
20,"$400,000 to $499,999",2015,2015,4649695,31096,United States,0.062406559
21,"$500,000 to $749,999",2015,2015,14744,1437,"Mecklenburg County, NC",0.066606734
15,"$150,000 to $174,999",2015,2015,6487224,41429,United States,0.087069222
1,"$10,000 to $14,999",2015,2015,507,306,"Mecklenburg County, NC",0.002290397
10,"$70,000 to $79,999",2015,2015,4090,905,"Mecklenburg County, NC",0.018476773
22,"$750,000 to $999,999",2015,2015,5517,946,"Mecklenburg County, NC",0.024923315
6,"$35,000 to $39,999",2015,2015,485347,9623,United States,0.006514155
1,"$10,000 to $14,999",2015,2015,560168,11116,United States,0.007518376
21,"$500,000 to $749,999",2015,2015,5243219,33833,United States,0.070372627
23,"$1,000,000 to $1,499,999",2015,2015,3045,744,"Mecklenburg County, NC",0.013755935
11,"$80,000 to $89,999",2015,2015,5778,1242,"Mecklenburg County, NC",0.026102395
2,"$15,000 to $19,999",2015,2015,717,306,"Mecklenburg County, NC",0.003239082
0,"Less Than $10,000",2015,2015,1045716,13633,United States,0.01403523
24,"$1,500,000 to $1,999,999",2015,2015,1932,640,"Mecklenburg County, NC",0.008727904
16,"$175,000 to $199,999",2015,2015,4540023,35851,United States,0.06093458
12,"$90,000 to $99,999",2015,2015,7693,1184,"Mecklenburg County, NC",0.0347535
12,"$90,000 to $99,999",2015,2015,2218228,25423,United States,0.02977227
25,"$2,000,000 or More",2015,2015,751,314,"Mecklenburg County, NC",0.003392679
3,"$20,000 to $24,999",2015,2015,294,178,"Mecklenburg County, NC",0.001328159
22,"$750,000 to $999,999",2015,2015,2012603,17766,United States,0.027012444
0,"Less Than $10,000",2015,2015,1208,575,"Mecklenburg County, NC",0.005457198
