ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
6,Two or More Races,0,Not Hispanic or Latino,2015,2015,3752.462258,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,22996,0.02223834
3,Asian Alone,1,Hispanic or Latino,2015,2015,286,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,247,0.000238862
0,White Alone,0,Not Hispanic or Latino,2015,2015,877,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,498670,0.48224008
6,Two or More Races,1,Hispanic or Latino,2015,2015,1086.691309,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3505,0.003389519
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2015,2015,422,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,398,0.000384887
5,Some Other Race Alone,1,Hispanic or Latino,2014,2014,4948,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,47718,0.047127074
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2014,2014,780,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,1862,0.001838942
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2014,2014,73,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,58,5.72817E-05
3,Asian Alone,1,Hispanic or Latino,2014,2014,49,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,31,3.06161E-05
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2014,2014,519,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,769,0.000759477
6,Two or More Races,0,Not Hispanic or Latino,2014,2014,3675.829838,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,27748,0.027404377
5,Some Other Race Alone,0,Not Hispanic or Latino,2014,2014,1004,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,1463,0.001444883
0,White Alone,0,Not Hispanic or Latino,2014,2014,375,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,493209,0.487101238
0,White Alone,1,Hispanic or Latino,2014,2014,5454,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,71975,0.071083682
3,Asian Alone,0,Not Hispanic or Latino,2014,2014,1421,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,53139,0.052480941
6,Two or More Races,1,Hispanic or Latino,2014,2014,1298.119024,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3752,0.003705536
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2014,2014,567,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,354,0.000349616
1,Black or African American Alone,0,Not Hispanic or Latino,2014,2014,3318,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,306587,0.302790312
1,Black or African American Alone,1,Hispanic or Latino,2014,2014,1358,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3874,0.003826025
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2013,2013,1024,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,2036,0.002054538
5,Some Other Race Alone,0,Not Hispanic or Latino,2013,2013,711,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,1784,0.001800244
6,Two or More Races,0,Not Hispanic or Latino,2013,2013,3253.681146,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,21464,0.021659433
3,Asian Alone,0,Not Hispanic or Latino,2013,2013,1832,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,47808,0.048243299
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2013,2013,952,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,1297,0.001308809
0,White Alone,1,Hispanic or Latino,2013,2013,7674,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,61812,0.062374808
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2013,2013,201,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0,0
0,White Alone,0,Not Hispanic or Latino,2013,2013,490,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,487223,0.491659241
6,Two or More Races,1,Hispanic or Latino,2013,2013,1788.235164,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,4221,0.004259433
5,Some Other Race Alone,1,Hispanic or Latino,2013,2013,7857,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,51391,0.051858923
1,Black or African American Alone,1,Hispanic or Latino,2013,2013,1775,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,5679,0.005730708
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2013,2013,125,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,73,7.36647E-05
1,Black or African American Alone,0,Not Hispanic or Latino,2013,2013,2373,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,305789,0.308573256
3,Asian Alone,1,Hispanic or Latino,2013,2013,333,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,400,0.000403642
