ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,Foreign Born,4,35 to 44 Years,2015,2015,37401,1887,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.036168731
3,Foreign Born,0,Under 5 Years,2015,2015,1900,742,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.0018374
3,Foreign Born,1,5 to 17 Years,2015,2015,10238,2093,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.009900684
3,Foreign Born,2,18 to 24 Years,2015,2015,13565,1608,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.013118067
3,Foreign Born,3,25 to 34 Years,2015,2015,35123,2062,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.033965786
3,Foreign Born,5,45 to 54 Years,2015,2015,25022,1650,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.024197588
3,Foreign Born,6,55 to 59 Years,2015,2015,7984,1148,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.007720947
3,Foreign Born,7,60 & 61 Years,2015,2015,3170,961,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.003065556
3,Foreign Born,8,62 to 64 Years,2015,2015,3905,812,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.00377634
3,Foreign Born,9,65 to 74 Years,2015,2015,7395,1107,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.007151353
3,Foreign Born,10,75 Years & Over,2015,2015,4668,1077,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.004514201
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",21,60 & 61 Years,6045,2015,18084,2959,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.017488178
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",27,65 to 74 Years,6045,2015,57966,3710,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.056056166
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",24,62 to 64 Years,6045,2015,26337,3387,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.025469262
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,75 Years & Over,6045,2015,36711,3264,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.035501465
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",18,55 to 59 Years,6045,2015,51258,5146,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.049569178
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",15,45 to 54 Years,6045,2015,116314,6582,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.112481747
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",0,Under 5 Years,6045,2015,69322,4273,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.067038015
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",12,35 to 44 Years,6045,2015,118517,5969,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.114612164
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",3,5 to 17 Years,6045,2015,170530,10603,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.164911466
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",9,25 to 34 Years,6045,2015,135906,7102,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.13142824
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",6,18 to 24 Years,6045,2015,82754,6895,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.080027464
3,Foreign Born,2,18 to 24 Years,2014,2014,13299,1920,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.013134309
3,Foreign Born,3,25 to 34 Years,2014,2014,35686,2394,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.035244075
3,Foreign Born,4,35 to 44 Years,2014,2014,36460,2252,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.03600849
3,Foreign Born,5,45 to 54 Years,2014,2014,22644,1463,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.022363583
3,Foreign Born,6,55 to 59 Years,2014,2014,8253,1387,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.008150797
3,Foreign Born,7,60 & 61 Years,2014,2014,2522,876,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.002490768
